author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;house_number;underground
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/293899250/;Санкт-Петербург;rent;flat;4;6;3;100.0;970;97000;0;Центральный;набережная Реки Мойки;40;Адмиралтейская
Евгений Суриков;realtor;https://spb.cian.ru/rent/flat/294655614/;Санкт-Петербург;rent;flat;1;4;1;22.0;1090;23990;0;Центральный;Лиговский проспект;72;Лиговский проспект
Stanley Realty;real_estate_agent;https://spb.cian.ru/rent/flat/294419013/;Санкт-Петербург;rent;flat;3;4;2;72.0;2361;170000;0;Курортный;Приморское шоссе;502аА;
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295036569/;Санкт-Петербург;rent;flat;7;10;1;31.0;1612;50000;0;Невский; Бабушкина;53;Ломоносовская
ID 55342000;homeowner;https://spb.cian.ru/rent/flat/269830813/;Санкт-Петербург;rent;flat;7;7;1;41.0;1341;55000;0;Адмиралтейский; Шкапина;24;Балтийская
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/290957097/;Санкт-Петербург;rent;flat;6;12;3;155.0;1935;300000;0;Петроградский;Песочная набережная;12;Петроградская
Владимир Чудиновских;realtor;https://spb.cian.ru/rent/flat/254763610/;Санкт-Петербург;rent;flat;6;17;2;65.0;769;50000;0;Приморский;Богатырский проспект;26к1;Комендантский проспект
Владимир Колыманов;realtor;https://spb.cian.ru/rent/flat/282152028/;Санкт-Петербург;rent;flat;1;4;-1;15.0;1533;23000;0;Центральный;Коломенская ;14Ж;Лиговский проспект
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/294460808/;Санкт-Петербург;rent;flat;3;5;1;55.0;2727;150000;0;Центральный;Невский проспект;40-42;Невский проспект
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295650491/;Санкт-Петербург;rent;flat;6;12;1;35.0;1571;55000;0;Фрунзенский;Лиговский проспект;271;Обводный канал
ID 11277854;homeowner;https://spb.cian.ru/rent/flat/292318681/;Санкт-Петербург;rent;flat;8;10;2;55.0;636;35000;0;Калининский;Гражданский проспект;6;Площадь Мужества
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295319818/;Санкт-Петербург;rent;flat;9;13;1;19.0;1368;26000;0;Приморский; Матроса Железняка;2;Черная речка
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295599335/;Санкт-Петербург;rent;flat;5;13;1;33.5;1940;65000;0;Красногвардейский;Пискаревский проспект;1;
ЮСОН;real_estate_agent;https://spb.cian.ru/rent/flat/281356152/;Санкт-Петербург;rent;flat;5;10;1;42.0;952;40000;0;Центральный;Кременчугская ;11к2;Площадь Александра Невского
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/294450340/;Санкт-Петербург;rent;flat;1;5;2;40.0;1750;70000;0;Курортный; Максима Горького;2;Беговая
МИР КВАРТИР;real_estate_agent;https://spb.cian.ru/rent/flat/295727930/;Санкт-Петербург;rent;flat;3;6;2;80.0;975;78000;0;Центральный;Караванная ;3/35;Гостиный двор
АТЛАНТА;real_estate_agent;https://spb.cian.ru/rent/flat/269100503/;Санкт-Петербург;rent;flat;9;28;1;38.0;605;23000;0;Выборгский; Федора Абрамова;23к1;Парнас
THE KEYS;real_estate_agent;https://spb.cian.ru/rent/flat/295511199/;Санкт-Петербург;rent;flat;3;10;-1;27.2;1654;45000;0;Василеостровский;проспект Малый Васильевского острова;54к2;Василеостровская
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295607123/;Санкт-Петербург;rent;flat;4;5;1;44.0;1145;50400;0;Центральный;Боровая ;34/24;Обводный канал
Валерий Боровков;realtor;https://spb.cian.ru/rent/flat/295728897/;Санкт-Петербург;rent;flat;16;19;1;28.0;714;20000;0;Выборгский;Заречная ;45к2;Парнас
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295295527/;Санкт-Петербург;rent;flat;6;10;1;25.0;1800;45000;0;Василеостровский;26-я Васильевского острова линия;7;Василеостровская
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/294209797/;Санкт-Петербург;rent;flat;8;13;1;40.0;1250;50000;0;Фрунзенский; Тосина;6;
ЦЕХ НЕДВИЖИМОСТИ;real_estate_agent;https://spb.cian.ru/rent/flat/295809834/;Санкт-Петербург;rent;flat;5;9;1;38.0;526;20000;0;Красносельский; Спирина;7к3;Проспект Ветеранов
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295455026/;Санкт-Петербург;rent;flat;4;8;2;65.0;1030;67000;0;Петроградский;Петровская набережная;4;
Петр Кузнецов;realtor;https://spb.cian.ru/rent/flat/290363840/;Санкт-Петербург;rent;flat;9;9;2;57.0;701;40000;0;Красногвардейский;Ленская ;10К2;Ладожская
Ключ;real_estate_agent;https://spb.cian.ru/rent/flat/295774326/;Санкт-Петербург;rent;flat;6;11;1;20.0;1000;20000;0;Колпинский;дорога Балканская;14к2;Рыбацкое
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295369498/;Санкт-Петербург;rent;flat;3;25;1;26.0;1730;45000;0;Василеостровский; Вадима Шефнера;4;Приморская
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/295733331/;Санкт-Петербург;rent;flat;2;10;2;58.0;1362;79000;0;Московский;Варшавская ;6к2;Электросила
Сергей Варфоломеев;realtor;https://spb.cian.ru/rent/flat/295896974/;Санкт-Петербург;rent;flat;13;26;1;35.8;614;22000;0;Невский; Заводская;15;Рыбацкое
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/295140817/;Санкт-Петербург;rent;flat;7;25;2;55.0;781;43000;0;Московский;проспект Космонавтов;37;Московская
NEDmax;real_estate_agent;https://spb.cian.ru/rent/flat/295656915/;Санкт-Петербург;rent;flat;3;15;2;51.0;1764;90000;0;Красногвардейский;проспект Шаумяна;14;Новочеркасская
